,Product_name,Sale price,Actual Price,Ratting,Person Ratting,Offer,No of Ratting,No of Reviews
200,"APPLE iPhone SE (3rd Gen) (Midnight, 64 GB)","₹47,990","₹49,900",4.3,577 Ratings & 77 Reviews,3% off,577, 77 Reviews
201,"APPLE iPhone SE (3rd Gen) (Starlight, 128 GB)","₹52,990","₹54,900",4.3,577 Ratings & 77 Reviews,3% off,577, 77 Reviews
202,"APPLE iPhone 14 Pro (Space Black, 128 GB)","₹1,29,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
203,"APPLE iPhone SE (3rd Gen) (Midnight, 128 GB)","₹52,990","₹54,900",4.3,577 Ratings & 77 Reviews,3% off,577, 77 Reviews
204,"APPLE iPhone 13 mini (Green, 256 GB)","₹68,990","₹74,900",4.5,"2,909 Ratings & 251 Reviews",7% off,"2,909", 251 Reviews
205,"APPLE iPhone 14 Pro Max (Gold, 256 GB)","₹1,49,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
206,"APPLE iPhone 14 Pro Max (Gold, 128 GB)","₹1,39,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
207,"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹58,990","₹64,900",4.5,"2,909 Ratings & 251 Reviews",9% off,"2,909", 251 Reviews
208,"APPLE iPhone 14 Pro Max (Silver, 256 GB)","₹1,49,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
209,"APPLE iPhone 13 Mini (Midnight, 256 GB)","₹68,990","₹74,900",4.5,"2,909 Ratings & 251 Reviews",7% off,"2,909", 251 Reviews
210,"APPLE iPhone 12 Mini (Purple, 128 GB)","₹48,999","₹64,900",4.5,"1,18,327 Ratings & 9,450 Reviews",24% off,"1,18,327"," 9,450 Reviews"
211,"APPLE iPhone 14 Pro (Deep Purple, 1 TB)","₹1,79,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
212,"APPLE iPhone 14 Pro (Deep Purple, 256 GB)","₹1,39,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
213,"APPLE iPhone 14 Pro (Silver, 128 GB)","₹1,29,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
214,"APPLE iPhone 14 Pro Max (Deep Purple, 512 GB)","₹1,69,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
215,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999","₹47,900",4.6,"1,00,548 Ratings & 8,570 Reviews",16% off,"1,00,548"," 8,570 Reviews"
216,"APPLE iPhone 13 Pro Max (Sierra Blue, 128 GB)","₹1,29,900",Same Price,4.6,"1,720 Ratings & 168 Reviews",No offer this product,"1,720", 168 Reviews
217,"APPLE iPhone 14 Pro (Deep Purple, 1 TB)","₹1,79,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
218,"APPLE iPhone 14 Pro (Silver, 128 GB)","₹1,29,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
219,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999","₹47,900",4.6,"1,00,548 Ratings & 8,570 Reviews",16% off,"1,00,548"," 8,570 Reviews"
220,"APPLE iPhone 13 Pro Max (Gold, 128 GB)","₹1,29,900",Same Price,4.6,"1,720 Ratings & 168 Reviews",No offer this product,"1,720", 168 Reviews
221,"APPLE iPhone 14 Pro (Silver, 512 GB)","₹1,59,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
222,"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)","₹1,39,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
223,"APPLE iPhone 14 Pro Max (Deep Purple, 256 GB)","₹1,49,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
224,"APPLE iPhone 13 Mini (Starlight, 128 GB)","₹58,990","₹64,900",4.5,"2,909 Ratings & 251 Reviews",9% off,"2,909", 251 Reviews
225,"APPLE iPhone XR ((PRODUCT)RED, 128 GB)","₹44,999","₹52,900",4.6,"1,00,548 Ratings & 8,570 Reviews",14% off,"1,00,548"," 8,570 Reviews"
226,"APPLE iPhone XR (Yellow, 64 GB)","₹39,999","₹47,900",4.6,"1,00,548 Ratings & 8,570 Reviews",16% off,"1,00,548"," 8,570 Reviews"
227,"APPLE iPhone 13 Pro (Silver, 256 GB)","₹1,29,900",Same Price,4.6,"1,286 Ratings & 110 Reviews",No offer this product,"1,286", 110 Reviews
228,"APPLE iPhone 14 Pro (Gold, 512 GB)","₹1,59,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
229,"APPLE iPhone 6s Plus (Space Grey, 32 GB)","₹34,900",Same Price,4.4,"18,838 Ratings & 2,381 Reviews",No offer this product,"18,838"," 2,381 Reviews"
230,"APPLE iPhone 14 Pro Max (Space Black, 128 GB)","₹1,39,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
231,"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)","₹29,990","₹39,900",4.5,"1,53,514 Ratings & 12,048 Reviews",24% off,"1,53,514"," 12,048 Reviews"
232,"APPLE iPhone XR (Black, 128 GB)","₹44,999","₹52,900",4.6,"1,00,548 Ratings & 8,570 Reviews",14% off,"1,00,548"," 8,570 Reviews"
233,"APPLE iPhone XR (Black, 64 GB)","₹39,999","₹47,900",4.6,"1,00,548 Ratings & 8,570 Reviews",16% off,"1,00,548"," 8,570 Reviews"
234,"APPLE iPhone 12 (Green, 256 GB)","₹61,999","₹74,900",4.6,"1,84,694 Ratings & 12,596 Reviews",17% off,"1,84,694"," 12,596 Reviews"
235,"APPLE iPhone 6s (Silver, 32 GB)","₹22,999","₹29,990",4.5,"93,041 Ratings & 9,245 Reviews",23% off,"93,041"," 9,245 Reviews"
236,"APPLE iPhone 14 Pro Max (Silver, 512 GB)","₹1,69,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
